Count,Hash,Compared Hash,Last Release,Next Release,Author's Name,Author's Date,Author's Date Short,Subject,Commit Message,Merge Commit,Merge Conflict,Files Changed,Insertions,Deletions,Sample Files,Sample Modified,Sample Added,Sample Deleted
97,28489d0024ac8304925f5f651ba2e69d63ce9c83,448d778977595cca4e2c6e1de982dd9ddeac206e,rxjava-0.8.4-0-g76592d6f9,rxjava-0.9.0-0-g3187838df,"Ben Christensen","2013-05-16T16:07:31-07:00","2013-05-16","Merge pull request #275 from benjchristensen/forEach-BlockingObservable","Merge pull request #275 from benjchristensen/forEach-BlockingObservable

Move forEach to BlockingObservable",1,0,4 ,157 ,141 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/test/java/rx/concurrency/TestSchedulers.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/test/java/rx/concurrency/TestSchedulers.java ","",""
98,bb79c2bec6f29ea07001875477534b2c741b60eb,28489d0024ac8304925f5f651ba2e69d63ce9c83,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-05-28T13:15:44-07:00","2013-05-28","Merge pull request #279 from DavidMGross/master","Merge pull request #279 from DavidMGross/master

Adding marble diagrams",1,0,3 ,114 ,3 ,"rxjava-core/src/main/java/rx/Observable.java ","rxjava-core/src/main/java/rx/Observable.java ","",""
99,52640f5ba336ccc34059ff40558ac8718e392cc0,bb79c2bec6f29ea07001875477534b2c741b60eb,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-05-28T13:40:58-07:00","2013-05-28","Merge pull request #280 from DavidMGross/master","Merge pull request #280 from DavidMGross/master

Diagrams and some new javadoc content for Observable subclasses",1,0,2 ,52 ,0,"rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/observables/ConnectableObservable.java ","rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/observables/ConnectableObservable.java ","",""
100,674013aee82671797d880fd1d4f4f77b4d81a564,52640f5ba336ccc34059ff40558ac8718e392cc0,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-06-03T16:08:45-07:00","2013-06-03","Merge pull request #285 from DavidMGross/master","Merge pull request #285 from DavidMGross/master

Several new or more-precise marble diagrams",1,0,2 ,126 ,29 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java ","",""
101,2a32cab3736e1f822706a0f78edb399e592fbd55,674013aee82671797d880fd1d4f4f77b4d81a564,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-06-03T23:45:00-07:00","2013-06-03","Merge pull request #287 from benjchristensen/error-handling-and-validation","Merge pull request #287 from benjchristensen/error-handling-and-validation

Error handling and validation",1,1,4 ,205 ,51 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/operators/AtomicObserver.java rxjava-core/src/main/java/rx/util/OnErrorNotImplementedException.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/operators/AtomicObserver.java rxjava-core/src/main/java/rx/util/OnErrorNotImplementedException.java ","rxjava-core/src/main/java/rx/util/OnErrorNotImplementedException.java ",""
102,3f6625d1e1b7273216e0163bb34b61293a43bfde,2a32cab3736e1f822706a0f78edb399e592fbd55,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"David M. Gross","2013-06-04T11:42:18-07:00","2013-06-04","Editing javadoc comments","Editing javadoc comments

Many changes to the javadoc comments, filling in blanks, making comments
more accurate & precise, making formatting more consistent, etc.
",0,0,1 ,887 ,638 ,"rxjava-core/src/main/java/rx/Observable.java ","rxjava-core/src/main/java/rx/Observable.java ","",""
103,85733b39108d3d6847a0e34b08ca2e5d6f80b360,3f6625d1e1b7273216e0163bb34b61293a43bfde,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"David M. Gross","2013-06-04T15:15:50-07:00","2013-06-04","Javadoc changes","Javadoc changes

Tuning up the Blocking Observable javadocs, and settling on a consistent
set of terms throughout: Observers (not subscribers) subscribe to
Observables which invoke (not call) the Observers methods (not closures
or functions) in order to make notifications (e.g. error or complete) or
to emit (not output or send) items (not elements or objects or emissions
or values).
",0,0,3 ,593 ,544 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/observables/ConnectableObservable.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/observables/ConnectableObservable.java ","",""
104,870d0b74ad7f0a06e8313b9b0d872acc4543d238,85733b39108d3d6847a0e34b08ca2e5d6f80b360,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-06-04T21:30:43-07:00","2013-06-04","Merge pull request #288 from benjchristensen/issue282-PublishSubject","Merge pull request #288 from benjchristensen/issue282-PublishSubject

Fix PublishSubject non-deterministic behavior on concurrent modification",1,0,1 ,208 ,9 ,"rxjava-core/src/main/java/rx/subjects/PublishSubject.java ","rxjava-core/src/main/java/rx/subjects/PublishSubject.java ","",""
105,0da939badc85c4add2153e7f2da9d4b8a2832d82,870d0b74ad7f0a06e8313b9b0d872acc4543d238,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-06-04T21:37:49-07:00","2013-06-04","Merge pull request #284 from benjchristensen/issue282-groupBy-fixes","Merge pull request #284 from benjchristensen/issue282-groupBy-fixes

GroupBy fixes as reported in Issue 282",1,0,3 ,509 ,62 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationGroupBy.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationGroupBy.java ","",""
106,82541b24756bfe2f618e87f42f577970e0858667,0da939badc85c4add2153e7f2da9d4b8a2832d82,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"David M. Gross","2013-06-05T14:54:44-07:00","2013-06-05","New BlockingObservable-specific diagram legend","New BlockingObservable-specific diagram legend

A new diagram legend spells out the BlockingObservable-specific marble
diagram iconography.
",0,0,1 ,2 ,2 ,"rxjava-core/src/main/java/rx/observables/BlockingObservable.java ","rxjava-core/src/main/java/rx/observables/BlockingObservable.java ","",""
107,8fd44d6ce199893f2f427243cad64b16b4550afb,82541b24756bfe2f618e87f42f577970e0858667,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"David M. Gross","2013-06-05T18:46:59-07:00","2013-06-05","Add javadoc comments to individual OperationFoo files","Add javadoc comments to individual OperationFoo files
",0,0,36 ,293 ,51 ,"rxjava-core/src/main/java/rx/operators/OperationAll.java rxjava-core/src/main/java/rx/operators/OperationCache.java rxjava-core/src/main/java/rx/operators/OperationConcat.java rxjava-core/src/main/java/rx/operators/OperationDematerialize.java rxjava-core/src/main/java/rx/operators/OperationFilter.java rxjava-core/src/main/java/rx/operators/OperationFinally.java rxjava-core/src/main/java/rx/operators/OperationGroupBy.java rxjava-core/src/main/java/rx/operators/OperationMap.java rxjava-core/src/main/java/rx/operators/OperationMaterialize.java rxjava-core/src/main/java/rx/operators/OperationMerge.java rxjava-core/src/main/java/rx/operators/OperationMergeDelayError.java rxjava-core/src/main/java/rx/operators/OperationMostRecent.java rxjava-core/src/main/java/rx/operators/OperationNext.java rxjava-core/src/main/java/rx/operators/OperationObserveOn.java rxjava-core/src/main/java/rx/operators/OperationOnErrorResumeNextViaFunction.java ","rxjava-core/src/main/java/rx/operators/OperationAll.java rxjava-core/src/main/java/rx/operators/OperationCache.java rxjava-core/src/main/java/rx/operators/OperationConcat.java rxjava-core/src/main/java/rx/operators/OperationDematerialize.java rxjava-core/src/main/java/rx/operators/OperationFilter.java rxjava-core/src/main/java/rx/operators/OperationFinally.java rxjava-core/src/main/java/rx/operators/OperationGroupBy.java rxjava-core/src/main/java/rx/operators/OperationMap.java rxjava-core/src/main/java/rx/operators/OperationMaterialize.java rxjava-core/src/main/java/rx/operators/OperationMerge.java rxjava-core/src/main/java/rx/operators/OperationMergeDelayError.java rxjava-core/src/main/java/rx/operators/OperationMostRecent.java rxjava-core/src/main/java/rx/operators/OperationNext.java rxjava-core/src/main/java/rx/operators/OperationObserveOn.java rxjava-core/src/main/java/rx/operators/OperationOnErrorResumeNextViaFunction.java ","",""
108,2ca8bac6da3366e41dc35924345ec40d0c906418,8fd44d6ce199893f2f427243cad64b16b4550afb,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"David M. Gross","2013-06-06T16:02:41-07:00","2013-06-06","defer gets a diagram & javadoc + lots of javadoc changes in Observable","defer gets a diagram & javadoc + lots of javadoc changes in Observable

OperationDefer now has a javadoc explanation & marble diagram; I also
made a number of changes to the Observable javadocs
",0,0,2 ,715 ,610 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationDefer.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationDefer.java ","",""
109,abd66858b71d2cad75bbfbcb4cb0b616caacc5ed,2ca8bac6da3366e41dc35924345ec40d0c906418,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"David M. Gross","2013-06-07T10:38:10-07:00","2013-06-07","javadoc interlinkings and other javadoc improvements","javadoc interlinkings and other javadoc improvements
",0,0,3 ,194 ,179 ,"rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/observables/ConnectableObservable.java rxjava-core/src/main/java/rx/observables/GroupedObservable.java ","rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/observables/ConnectableObservable.java rxjava-core/src/main/java/rx/observables/GroupedObservable.java ","",""
110,cdcd75a9aea63f9754452b987be62b639bee94bf,abd66858b71d2cad75bbfbcb4cb0b616caacc5ed,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"David M. Gross","2013-06-10T10:33:34-07:00","2013-06-10","diagram & description of combineLatest() operator","diagram & description of combineLatest() operator
",0,0,1 ,16 ,6 ,"rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java ","rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java ","",""
111,ea840061b8adbecfd8afc7311ca421c6eedf522d,cdcd75a9aea63f9754452b987be62b639bee94bf,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-07-05T14:15:34-07:00","2013-07-05","Merge pull request #302 from rgerasimen/patch-1","Merge pull request #302 from rgerasimen/patch-1

Update Observable.isInternalImplementation, get rid of NullPointerExcept...",1,0,1 ,2 ,1 ,"rxjava-core/src/main/java/rx/Observable.java ","rxjava-core/src/main/java/rx/Observable.java ","",""
112,c9f2c13237dadcc961e7b0f1c0fba7b74fdcc932,ea840061b8adbecfd8afc7311ca421c6eedf522d,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-07-05T14:30:02-07:00","2013-07-05","Merge pull request #290 from abersnaze/issue103","Merge pull request #290 from abersnaze/issue103

Issue 103",1,1,2 ,142 ,0,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationZip.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationZip.java ","",""
113,a2404bf8718c8abc11676887d0be17a0f5a02e03,c9f2c13237dadcc961e7b0f1c0fba7b74fdcc932,rxjava-0.8.4-29-g28489d002,rxjava-0.9.1-0-g21adab60b,"Ben Christensen","2013-07-05T15:03:19-07:00","2013-07-05","Merge pull request #303 from benjchristensen/pull-267-combineLatest","Merge pull request #303 from benjchristensen/pull-267-combineLatest

Pull 267 - Merge combineLatest",1,0,3 ,125 ,96 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java rxjava-core/src/main/java/rx/operators/SynchronizedObserver.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java rxjava-core/src/main/java/rx/operators/SynchronizedObserver.java ","",""
114,0adf8e24335b46ab9c00851d36e37558e5099f51,a2404bf8718c8abc11676887d0be17a0f5a02e03,rxjava-0.9.0-46-ga2404bf87,rxjava-0.9.2-0-g512a76dfa,"David M. Gross","2013-07-16T10:17:05-07:00","2013-07-16","adding marble diagram to combineLatest() javadoc","adding marble diagram to combineLatest() javadoc

Adding a marble diagram that describes combineLatest() to the javadoc
section for that method
",0,0,3 ,15 ,1 ,"rxjava-core/src/main/java/rx/Observable.java ","rxjava-core/src/main/java/rx/Observable.java ","",""
115,9ffd288439b5eaa60dc5c52a6910ef86058c5f47,0adf8e24335b46ab9c00851d36e37558e5099f51,rxjava-0.9.0-46-ga2404bf87,rxjava-0.9.2-0-g512a76dfa,"Ben Christensen","2013-07-22T09:35:26-07:00","2013-07-22","Merge pull request #308 from NorthNick/master","Merge pull request #308 from NorthNick/master

Ensure now() is always updated in TestScheduler.advanceTo/By",1,0,2 ,2 ,2 ,"rxjava-core/src/main/java/rx/concurrency/TestScheduler.java ","rxjava-core/src/main/java/rx/concurrency/TestScheduler.java ","",""
116,cdf8dcd21009ba6f23e8f94178199b10961693fc,9ffd288439b5eaa60dc5c52a6910ef86058c5f47,rxjava-0.9.0-46-ga2404bf87,rxjava-0.9.2-0-g512a76dfa,"Ben Christensen","2013-07-22T09:55:21-07:00","2013-07-22","Merge pull request #281 from michaeldejong/operation-buffer","Merge pull request #281 from michaeldejong/operation-buffer

Operation: buffer",1,1,7 ,1616 ,2 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationBuffer.java rxjava-core/src/main/java/rx/util/BufferClosing.java rxjava-core/src/main/java/rx/util/BufferClosings.java rxjava-core/src/main/java/rx/util/BufferOpening.java rxjava-core/src/main/java/rx/util/BufferOpenings.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/operators/OperationBuffer.java rxjava-core/src/main/java/rx/util/BufferClosing.java rxjava-core/src/main/java/rx/util/BufferClosings.java rxjava-core/src/main/java/rx/util/BufferOpening.java rxjava-core/src/main/java/rx/util/BufferOpenings.java ","rxjava-core/src/main/java/rx/operators/OperationBuffer.java rxjava-core/src/main/java/rx/util/BufferClosing.java rxjava-core/src/main/java/rx/util/BufferClosings.java rxjava-core/src/main/java/rx/util/BufferOpening.java rxjava-core/src/main/java/rx/util/BufferOpenings.java ",""
117,f651b7a504f9ec5c1c7f89ede072656d36def3d7,cdf8dcd21009ba6f23e8f94178199b10961693fc,rxjava-0.9.0-46-ga2404bf87,rxjava-0.9.2-0-g512a76dfa,"Ben Christensen","2013-07-22T09:56:08-07:00","2013-07-22","Remove stray HEAD line","Remove stray HEAD line",0,0,1 ,0,1 ,"rxjava-core/src/main/java/rx/Observable.java ","rxjava-core/src/main/java/rx/Observable.java ","",""
118,22c37c827cb99e9534a5ad60948ea88dc643a7d7,f651b7a504f9ec5c1c7f89ede072656d36def3d7,rxjava-0.9.1-18-gf651b7a50,rxjava-0.10.0-0-g1fce23c6d,"Ben Christensen","2013-07-31T13:53:45-07:00","2013-07-31","Merge pull request #311 from daveray/update-javadoc","Merge pull request #311 from daveray/update-javadoc

Various Javadoc improvements and corrections.",1,0,14 ,604 ,532 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/Observer.java rxjava-core/src/main/java/rx/Subscription.java rxjava-core/src/main/java/rx/observables/GroupedObservable.java rxjava-core/src/main/java/rx/package-info.java rxjava-core/src/main/java/rx/subjects/AsyncSubject.java rxjava-core/src/main/java/rx/subjects/BehaviorSubject.java rxjava-core/src/main/java/rx/subjects/PublishSubject.java rxjava-core/src/main/java/rx/subjects/ReplaySubject.java rxjava-core/src/main/java/rx/subscriptions/Subscriptions.java rxjava-core/src/main/java/rx/util/Timestamped.java rxjava-core/src/main/java/rx/util/functions/FuncN.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/Observer.java rxjava-core/src/main/java/rx/Subscription.java rxjava-core/src/main/java/rx/observables/GroupedObservable.java rxjava-core/src/main/java/rx/package-info.java rxjava-core/src/main/java/rx/subjects/AsyncSubject.java rxjava-core/src/main/java/rx/subjects/BehaviorSubject.java rxjava-core/src/main/java/rx/subjects/PublishSubject.java rxjava-core/src/main/java/rx/subjects/ReplaySubject.java rxjava-core/src/main/java/rx/subscriptions/Subscriptions.java rxjava-core/src/main/java/rx/util/Timestamped.java rxjava-core/src/main/java/rx/util/functions/FuncN.java ","",""
119,69b46cef32d94f4bbed3fc9721d147d84e15fa3b,22c37c827cb99e9534a5ad60948ea88dc643a7d7,rxjava-0.9.1-18-gf651b7a50,rxjava-0.10.0-0-g1fce23c6d,"Ben Christensen","2013-07-31T14:01:02-07:00","2013-07-31","Merge pull request #312 from petermd/fix-errorresumenext","Merge pull request #312 from petermd/fix-errorresumenext

Fix for OperatorOnErrorResumeNextViaObservable and async Resume",1,0,1 ,54 ,8 ,"rxjava-core/src/main/java/rx/operators/OperationOnErrorResumeNextViaObservable.java ","rxjava-core/src/main/java/rx/operators/OperationOnErrorResumeNextViaObservable.java ","",""
120,7c04f6b38c0547ca05430027d037bf551432ce10,69b46cef32d94f4bbed3fc9721d147d84e15fa3b,rxjava-0.9.1-18-gf651b7a50,rxjava-0.10.0-0-g1fce23c6d,"Ben Christensen","2013-07-31T15:37:45-07:00","2013-07-31","Merge pull request #314 from benjchristensen/map-error-handling","Merge pull request #314 from benjchristensen/map-error-handling

Map Error Handling",1,0,27 ,109 ,76 ,"rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/concurrency/DiscardableAction.java rxjava-core/src/main/java/rx/concurrency/NewThreadScheduler.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/operators/OperationAll.java rxjava-core/src/main/java/rx/operators/OperationBuffer.java rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java rxjava-core/src/main/java/rx/operators/OperationConcat.java rxjava-core/src/main/java/rx/operators/OperationFilter.java rxjava-core/src/main/java/rx/operators/OperationGroupBy.java rxjava-core/src/main/java/rx/operators/OperationMap.java rxjava-core/src/main/java/rx/operators/OperationMerge.java rxjava-core/src/main/java/rx/operators/OperationOnErrorResumeNextViaFunction.java rxjava-core/src/main/java/rx/operators/OperationOnErrorResumeNextViaObservable.java rxjava-core/src/main/java/rx/operators/OperationOnErrorReturn.java ","rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/concurrency/DiscardableAction.java rxjava-core/src/main/java/rx/concurrency/NewThreadScheduler.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/operators/OperationAll.java rxjava-core/src/main/java/rx/operators/OperationBuffer.java rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java rxjava-core/src/main/java/rx/operators/OperationConcat.java rxjava-core/src/main/java/rx/operators/OperationFilter.java rxjava-core/src/main/java/rx/operators/OperationGroupBy.java rxjava-core/src/main/java/rx/operators/OperationMap.java rxjava-core/src/main/java/rx/operators/OperationMerge.java rxjava-core/src/main/java/rx/operators/OperationOnErrorResumeNextViaFunction.java rxjava-core/src/main/java/rx/operators/OperationOnErrorResumeNextViaObservable.java rxjava-core/src/main/java/rx/operators/OperationOnErrorReturn.java ","rxjava-core/src/main/java/rx/operators/SafeObservableSubscription.java rxjava-core/src/main/java/rx/operators/SafeObserver.java ",""
121,7c5b158d732db30d5b69a2711b68ff29f888db4b,7c04f6b38c0547ca05430027d037bf551432ce10,rxjava-0.9.1-18-gf651b7a50,rxjava-0.10.0-0-g1fce23c6d,"Ben Christensen","2013-08-01T10:25:07-07:00","2013-08-01","Merge pull request #315 from benjchristensen/onError-to-throwable","Merge pull request #315 from benjchristensen/onError-to-throwable

Change onError(Exception) to onError(Throwable) - Issue #296",1,0,61 ,848 ,633 ,"rxjava-core/src/main/java/rx/Notification.java rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/Observer.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/operators/OperationAll.java rxjava-core/src/main/java/rx/operators/OperationBuffer.java rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java rxjava-core/src/main/java/rx/operators/OperationConcat.java rxjava-core/src/main/java/rx/operators/OperationDefer.java rxjava-core/src/main/java/rx/operators/OperationDematerialize.java rxjava-core/src/main/java/rx/operators/OperationFilter.java rxjava-core/src/main/java/rx/operators/OperationFinally.java rxjava-core/src/main/java/rx/operators/OperationGroupBy.java rxjava-core/src/main/java/rx/operators/OperationInterval.java rxjava-core/src/main/java/rx/operators/OperationMap.java ","rxjava-core/src/main/java/rx/Notification.java rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/Observer.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/operators/OperationAll.java rxjava-core/src/main/java/rx/operators/OperationBuffer.java rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java rxjava-core/src/main/java/rx/operators/OperationConcat.java rxjava-core/src/main/java/rx/operators/OperationDefer.java rxjava-core/src/main/java/rx/operators/OperationDematerialize.java rxjava-core/src/main/java/rx/operators/OperationFilter.java rxjava-core/src/main/java/rx/operators/OperationFinally.java rxjava-core/src/main/java/rx/operators/OperationGroupBy.java rxjava-core/src/main/java/rx/operators/OperationInterval.java rxjava-core/src/main/java/rx/operators/OperationMap.java ","rxjava-core/src/main/java/rx/operators/OperationOnExceptionResumeNextViaObservable.java ",""
122,ac90e6e0a57d3316f27f8c5f1d2be2499eff659c,7c5b158d732db30d5b69a2711b68ff29f888db4b,rxjava-0.9.1-18-gf651b7a50,rxjava-0.10.0-0-g1fce23c6d,"Ben Christensen","2013-08-01T10:33:40-07:00","2013-08-01","Merge pull request #316 from benjchristensen/fix-slow-unit-test","Merge pull request #316 from benjchristensen/fix-slow-unit-test

Remove thread.sleep from unit test to speed it up",1,0,1 ,183 ,188 ,"rxjava-core/src/main/java/rx/operators/OperationConcat.java ","rxjava-core/src/main/java/rx/operators/OperationConcat.java ","",""
123,87fd8894be2403f765b3ba0492cae0f2e487d921,ac90e6e0a57d3316f27f8c5f1d2be2499eff659c,rxjava-0.9.2-21-gac90e6e0a,rxjava-0.10.1-0-g4a08f49b5,"Ben Christensen","2013-08-22T22:56:26-07:00","2013-08-22","Merge pull request #318 from mttkay/android","Merge pull request #318 from mttkay/android

Initial support for scheduling on Android Handler threads",1,0,6 ,221 ,2 ,"rxjava-contrib/rxjava-android/src/main/java/rx/android/concurrency/AndroidSchedulers.java rxjava-contrib/rxjava-android/src/main/java/rx/android/concurrency/HandlerThreadScheduler.java ","rxjava-contrib/rxjava-android/src/main/java/rx/android/concurrency/AndroidSchedulers.java rxjava-contrib/rxjava-android/src/main/java/rx/android/concurrency/HandlerThreadScheduler.java ","rxjava-contrib/rxjava-android/src/main/java/rx/android/concurrency/AndroidSchedulers.java rxjava-contrib/rxjava-android/src/main/java/rx/android/concurrency/HandlerThreadScheduler.java ",""
124,4a08f49b50a7a48e8745aebbb356872dfd0b2928,87fd8894be2403f765b3ba0492cae0f2e487d921,rxjava-0.9.2-21-gac90e6e0a,rxjava-0.10.1-0-g4a08f49b5,"Ben Christensen","2013-08-23T21:00:59-07:00","2013-08-23","Merge pull request #321 from benjchristensen/android-merge","Merge pull request #321 from benjchristensen/android-merge

AtomicObservableSubscription to SafeObservableSubscription",1,0,2 ,3 ,3 ,"rxjava-contrib/rxjava-android/src/main/java/rx/android/concurrency/HandlerThreadScheduler.java ","rxjava-contrib/rxjava-android/src/main/java/rx/android/concurrency/HandlerThreadScheduler.java ","",""
125,84696e079787463f3cbea6a09e7dffb5f5c0bd36,4a08f49b50a7a48e8745aebbb356872dfd0b2928,rxjava-0.10.1-0-g4a08f49b5,rxjava-0.11.0-0-gc258dac43,"Ben Christensen","2013-08-30T10:35:17-07:00","2013-08-30","Merge pull request #323 from mattrjacobs/static-core","Merge pull request #323 from mattrjacobs/static-core

Static core",1,0,57 ,2533 ,5085 ,"language-adaptors/rxjava-clojure/src/main/java/rx/lang/clojure/ClojureAdaptor.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyActionWrapper.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyFunctionWrapper.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/RxGroovyExtensionModule.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/RxGroovyPropertiesModuleFactory.java language-adaptors/rxjava-jruby/src/main/java/rx/lang/jruby/JRubyAdaptor.java rxjava-contrib/rxjava-swing/src/main/java/rx/concurrency/SwingScheduler.java rxjava-contrib/rxjava-swing/src/main/java/rx/observables/SwingObservable.java rxjava-contrib/rxjava-swing/src/main/java/rx/swing/sources/AbstractButtonSource.java rxjava-contrib/rxjava-swing/src/main/java/rx/swing/sources/KeyEventSource.java rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/Scheduler.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java rxjava-core/src/main/java/rx/operators/OperationDematerialize.java ","language-adaptors/rxjava-clojure/src/main/java/rx/lang/clojure/ClojureAdaptor.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyActionWrapper.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyFunctionWrapper.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/RxGroovyExtensionModule.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/RxGroovyPropertiesModuleFactory.java language-adaptors/rxjava-jruby/src/main/java/rx/lang/jruby/JRubyAdaptor.java rxjava-contrib/rxjava-swing/src/main/java/rx/concurrency/SwingScheduler.java rxjava-contrib/rxjava-swing/src/main/java/rx/observables/SwingObservable.java rxjava-contrib/rxjava-swing/src/main/java/rx/swing/sources/AbstractButtonSource.java rxjava-contrib/rxjava-swing/src/main/java/rx/swing/sources/KeyEventSource.java rxjava-core/src/main/java/rx/Observable.java rxjava-core/src/main/java/rx/Scheduler.java rxjava-core/src/main/java/rx/observables/BlockingObservable.java rxjava-core/src/main/java/rx/operators/OperationCombineLatest.java rxjava-core/src/main/java/rx/operators/OperationDematerialize.java ","language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyActionWrapper.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyFunctionWrapper.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/RxGroovyExtensionModule.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/RxGroovyPropertiesModuleFactory.java rxjava-core/src/main/java/rx/util/functions/Action.java rxjava-core/src/test/java/rx/ObservableTests.java ","language-adaptors/rxjava-clojure/src/main/java/rx/lang/clojure/ClojureAdaptor.java language-adaptors/rxjava-jruby/src/main/java/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/rx/operators/OperationWhere.java rxjava-core/src/main/java/rx/util/functions/FunctionLanguageAdaptor.java "
